entity_name,real_name,nationality,team,player_status,social_links
Birt,Mitchell Casey,Canada,,Retired,https://www.twitch.tv/birt123;https://twitter.com/birt321;None;None;Http://play.eslgaming.com/player/13052520
BishUP,Bishop Dawson,United States,,Retired,https://www.twitch.tv/bishuptv;https://twitter.com/BishUPx;None;None;None
BL4CKSzz,Elias Junior,Brazil,FusioN E-Sport,Active,https://www.twitch.tv/bl4ckszz;https://twitter.com/bl4ckszz;None;None;None
Blasts,Jamie Levine,United Kingdom,T-Rex,Active,https://www.twitch.tv/Blastsgg;https://twitter.com/Blastsgg;None;None;Http://play.eslgaming.com/player/12196332
Blaze,Guy Spencer,United States,,Unknown,https://www.twitch.tv/blaze;https://twitter.com/GuyBlazeLive;None;None;None
BleachiM,Michael Bahouth,Israel,NiBBLE Esports,Active,https://www.twitch.tv/theebleahcim;https://twitter.com/TheeBleahciM;None;None;None
Blight,Ian Parkinson,United States,,Active,https://www.twitch.tv/blightfps;https://twitter.com/Blight76;None;None;None
blitziin,Noah Davis,United States,Neanderthals,Active,https://www.twitch.tv/blitziin;https://twitter.com/blitziin;None;None;None
BlueberrySmalls,,United States,Team Apple Jacks,Retired,https://www.twitch.tv/blueberrysmalls;https://twitter.com/BlueberrySmalls;None;None;None
BlurrFlavorz,Christopher Martinez,United States,,Active,https://www.twitch.tv/blurrflavorz;https://twitter.com/BlurrFlavorz;None;http://www.youtube.com/channel/UCprC7AkiKvXa5egTZ88KwcA;None
bNs,Bruno Semeghini,Brazil,,Retired,https://www.twitch.tv/bns00;https://twitter.com/bNs_fps;None;None;Http://play.eslgaming.com/player/8968631
BobSappAim,,Japan,Knot Not Rank,Retired,None;https://twitter.com/BobSappAim0304;None;http://www.youtube.com/channel/UCrAq8h6Q3xGxzUC-84YD9PQ;None
BoLin,Shin-Lung Tsai,Taiwan,ANT Esports Club,Active,https://www.twitch.tv/ttv_bolin;None;None;http://www.youtube.com/channel/UC4Xs2rULr-dWKGSfVBWYdoQ;None
Boring,,China,,Active,None;None;None;None;None
bouhn,Ander Nabi,Estonia,,Active,https://www.twitch.tv/bouhn;https://twitter.com/bouhnn;None;None;None
bowswer,Rafael Canadas,United States,Charlotte Phoenix,Active,https://www.twitch.tv/bowswer;https://twitter.com/bowswer;None;None;Http://play.eslgaming.com/player/13052520
Bowzey,Thomas Bowes,United Kingdom,,Active,https://www.twitch.tv/Bowzey_;https://twitter.com/Bowzey_;None;None;None
Brad Lusher,Brad Lusher,Australia,,Active,https://www.twitch.tv/im_b_rad;https://twitter.com/im_b_rad_ttv;None;http://www.youtube.com/channel/UCEgoNmk2uw5EdJlFk08s4yQ;None
Brans,Brandon Herrera,Chile,FusioN E-Sport,Active,https://www.twitch.tv/Brans;https://twitter.com/bransttv;http://facebook.com/bransttv;None;Http://play.eslgaming.com/player/10270464
Brasilian,,Japan,Meteor,Active,None;https://twitter.com/redkickbrasil;None;http://www.youtube.com/channel/UCHjHBgo9H49Xp1GGLLEzpAA;None
Braver,,Japan,Radical Pop Gaming,Active,https://www.twitch.tv/rpg_braver;https://twitter.com/Braver_45;None;http://www.youtube.com/channel/UCqth2AvN-GeKyPgxlYmipQg/featured;None
Bravo,Andy Dudynsky,United States,,Unknown,None;https://twitter.com/Brav;None;None;None
BreaK,Gary Marshall,United Kingdom,Team SoloMid,Retired,https://www.twitch.tv/BreaK;https://twitter.com/TSM_Break;None;http://www.youtube.com/71BreaKs;None
Brenin,Tomás Del Canal,Argentina,,Retired,https://www.twitch.tv/brenin;https://twitter.com/brenintv;None;http://www.youtube.com/user/khan0cs;None
BrittMarie,Robin Jan Synnergren Jonasson,Sweden,,Active,https://www.twitch.tv/brittmariefps;https://twitter.com/Brittmariefps;None;http://www.youtube.com/channel/UCdZhwNRSehcYiFPvQ_ye5BQ?view_as=subscriber;None
Bronzey,Deston Nguyen,United States,Ghost Gaming,Active,https://www.twitch.tv/bronzeys;https://twitter.com/Bronzey;None;http://www.youtube.com/channel/UCzidklbyLfhKbPy5MUqNUBA;None
Bruthaman,Chandler Atkinson,United States,,Retired,https://www.twitch.tv/bruthaman;https://twitter.com/RealFreeHugs;None;None;None
